hypothese,zielgroesse,getestete_kombinationen,anteil_signifikant
B1_Breite_Regime,fwd_return,9,0.6666666666666666
B1_Breite_Regime,fwd_mdd,9,1.0
B2_Breite_Richtung,fwd_return,9,0.0
B2_Breite_Richtung,fwd_mdd,9,0.0
B3_Breite_Quartile,fwd_return,9,1.0
B3_Breite_Quartile,fwd_mdd,9,1.0
B4_Fruehindikator_Krise,fwd_return,3,0.0
B4_Fruehindikator_Krise,fwd_mdd,3,0.3333333333333333
B5_Fruehindikator_Erholung,fwd_return,3,0.0
B5_Fruehindikator_Erholung,fwd_mdd,3,1.0
B6_Wochentrend_positiv_Breiteneinbruch,fwd_return,18,0.05555555555555555
B6_Wochentrend_positiv_Breiteneinbruch,fwd_mdd,18,0.2777777777777778
B7_Wochentrend_negativ_Breitenstabilisierung,fwd_return,18,0.0
B7_Wochentrend_negativ_Breitenstabilisierung,fwd_mdd,18,0.8333333333333334
B8_Divergenz_Kurshoch_Breite,fwd_return,9,0.1111111111111111
B8_Divergenz_Kurshoch_Breite,fwd_mdd,9,0.0
B9_Breadth_Thrust_Collapse,fwd_return,18,0.2777777777777778
B9_Breadth_Thrust_Collapse,fwd_mdd,18,0.3888888888888889
